Serial No.,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,Year,BasePolicy,FraudFound
6240,Apr,4,Monday,Ford,Urban,Monday,Apr,4,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,"40,000 to 59,000",6240,3,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,No
6241,Apr,4,Wednesday,Chevrolet,Urban,Wednesday,May,3,Male,Married,59,Third Party,Sedan - All Perils,Sedan,"60,000 to 69,000",6241,2,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,No
6242,Apr,4,Monday,Honda,Urban,Monday,May,1,Male,Single,34,Policy Holder,Sedan - Liability,Sport,"more than 69,000",6242,4,400,4,more than 30,more than 30,more than 4,new,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,No
6243,May,3,Saturday,Toyota,Rural,Wednesday,May,3,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,"less than 20,000",6243,7,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,No
6244,May,2,Monday,Chevrolet,Urban,Wednesday,May,2,Male,Married,45,Third Party,Sedan - All Perils,Sedan,"more than 69,000",6244,4,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,No
6245,Sep,2,Friday,Mazda,Urban,Monday,Sep,4,Male,Married,31,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",6245,14,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,No
6246,Jun,1,Monday,Toyota,Urban,Tuesday,Jun,3,Male,Married,34,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6246,2,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,No
6247,Jun,5,Wednesday,Mazda,Urban,Friday,Jul,1,Male,Single,25,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",6247,13,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils,No
6248,Jun,3,Monday,Pontiac,Urban,Tuesday,Jun,5,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6248,1,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,No
6249,Sep,3,Monday,Toyota,Urban,Monday,Sep,3,Male,Married,30,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6249,10,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,No
6250,Sep,2,Saturday,Pontiac,Urban,Friday,Sep,3,Male,Married,49,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6250,7,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,No
6251,Oct,3,Thursday,Pontiac,Urban,Friday,Oct,4,Male,Single,35,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",6251,3,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,No
6252,Oct,4,Friday,Chevrolet,Urban,Tuesday,Oct,4,Male,Married,37,Policy Holder,Utility - All Perils,Utility,"more than 69,000",6252,15,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,No
6253,Nov,1,Thursday,Chevrolet,Urban,Thursday,Nov,2,Male,Married,76,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6253,15,400,4,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,No
6254,Oct,5,Saturday,Honda,Urban,Monday,Nov,3,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",6254,5,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,No
6255,Nov,4,Friday,Mazda,Urban,Friday,Nov,4,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",6255,4,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,No
6256,Nov,4,Friday,Mazda,Urban,Thursday,Dec,1,Male,Single,30,Third Party,Sport - Collision,Sport,"more than 69,000",6256,3,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,No
6257,Apr,3,Friday,Accura,Urban,Tuesday,Apr,3,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6257,5,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,No
6258,Jun,1,Monday,Honda,Urban,Monday,Jun,1,Female,Married,38,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6258,6,400,4,more than 30,more than 30,more than 4,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,No
6259,May,5,Monday,Honda,Urban,Friday,Jun,1,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6259,9,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Collision,No
6260,Sep,2,Friday,Honda,Urban,Wednesday,Sep,3,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6260,4,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,No
6261,Nov,2,Monday,Pontiac,Urban,Friday,Nov,3,Male,Married,28,Third Party,Sedan - All Perils,Sedan,"less than 20,000",6261,9,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,No
6262,Jan,3,Tuesday,Chevrolet,Urban,Tuesday,Jan,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6262,13,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,No
6263,May,1,Wednesday,Toyota,Urban,Friday,May,3,Female,Single,38,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6263,9,700,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,No
6264,Jun,1,Saturday,Mercury,Urban,Monday,Jun,2,Male,Single,18,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6264,11,400,1,more than 30,more than 30,none,2 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,1995,Collision,No
6265,Jul,3,Tuesday,Pontiac,Urban,Tuesday,Jul,3,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",6265,7,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,No
6266,Aug,1,Monday,Toyota,Urban,Monday,Aug,1,Female,Married,35,Third Party,Sedan - All Perils,Sedan,"less than 20,000",6266,7,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,No
6267,Jul,4,Tuesday,Honda,Urban,Wednesday,Jul,4,Male,Married,63,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6267,3,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability,No
6268,Nov,2,Wednesday,Mazda,Urban,Friday,Dec,2,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6268,2,400,1,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,No
6269,Sep,2,Saturday,Pontiac,Rural,Saturday,Sep,3,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",6269,8,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,Yes
6270,Dec,2,Thursday,Ford,Urban,Friday,Dec,2,Male,Single,37,Policy Holder,Sedan - Collision,Sedan,"40,000 to 59,000",6270,2,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,No
6271,Nov,3,Saturday,Pontiac,Urban,Thursday,Dec,1,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",6271,15,400,4,more than 30,more than 30,none,7 years,41 to 50,Yes,Yes,External,more than 5,no change,1 vehicle,1995,All Perils,No
6272,Nov,3,Friday,Honda,Urban,Tuesday,Nov,4,Male,Married,28,Third Party,Sedan - All Perils,Sedan,"less than 20,000",6272,6,400,3,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,No
6273,Dec,2,Monday,Pontiac,Urban,Tuesday,Dec,2,Male,Married,63,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",6273,3,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,No
6274,May,3,Thursday,Honda,Urban,Thursday,Jun,1,Male,Single,29,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6274,13,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,2 to 3 years,3 to 4,1995,Liability,No
6275,Sep,2,Saturday,BMW,Urban,Tuesday,Oct,1,Male,Married,65,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",6275,4,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,No
6276,Aug,5,Monday,Mazda,Urban,Wednesday,Aug,5,Male,Married,59,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6276,1,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,No
6277,Aug,4,Sunday,Honda,Urban,Monday,Sep,3,Male,Married,46,Third Party,Sedan - Liability,Sport,"more than 69,000",6277,7,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,No
6278,Aug,5,Monday,Mercury,Rural,Monday,Aug,5,Male,Married,56,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6278,9,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,No
6279,Sep,2,Saturday,Accura,Urban,Friday,Sep,4,Male,Married,72,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",6279,5,400,1,more than 30,more than 30,none,7 years,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils,Yes
6280,Sep,3,Sunday,Pontiac,Urban,Monday,Sep,3,Male,Married,39,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6280,14,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,1 year,2 vehicles,1995,Liability,No
6281,Sep,3,Friday,Accura,Urban,Tuesday,Nov,3,Male,Married,61,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6281,16,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,No
6282,Oct,3,Tuesday,Honda,Urban,Wednesday,Oct,3,Male,Married,46,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6282,2,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,No
6283,Oct,1,Wednesday,Pontiac,Urban,Thursday,Oct,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6283,16,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,No
6284,Aug,5,Thursday,VW,Rural,Friday,Sep,1,Male,Married,47,Policy Holder,Sedan - Liability,Sport,"40,000 to 59,000",6284,5,400,3,15 to 30,more than 30,none,more than 7,41 to 50,No,No,Internal,1 to 2,no change,1 vehicle,1995,Liability,No
6285,Sep,1,Saturday,Mercury,Urban,Thursday,Sep,2,Male,Single,22,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",6285,1,400,3,more than 30,more than 30,none,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,No
6286,Aug,4,Friday,Honda,Urban,Tuesday,Aug,5,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",6286,1,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,No
6287,Aug,3,Sunday,Accura,Urban,Monday,Aug,5,Male,Married,56,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",6287,14,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,No
6288,Aug,4,Tuesday,Chevrolet,Urban,Tuesday,Aug,5,Male,Married,62,Third Party,Sedan - Liability,Sport,"more than 69,000",6288,14,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,No
6289,Aug,3,Friday,Honda,Urban,Thursday,Aug,4,Male,Single,32,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6289,10,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,No
6290,Jul,4,Thursday,Pontiac,Urban,Thursday,Jul,4,Male,Married,39,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",6290,1,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,No
6291,Jul,4,Tuesday,Ford,Urban,Wednesday,Aug,2,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",6291,6,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,No
6292,Jun,2,Tuesday,Toyota,Urban,Thursday,Jun,3,Male,Married,39,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",6292,5,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,No
6293,Apr,3,Sunday,Toyota,Urban,Monday,Apr,3,Female,Single,31,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6293,2,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,No
6294,Sep,2,Saturday,Mazda,Urban,Tuesday,Sep,2,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",6294,4,700,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,Yes
6295,Dec,2,Saturday,Pontiac,Urban,Tuesday,Dec,2,Male,Married,54,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6295,8,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,No
6296,Dec,2,Friday,Mazda,Urban,Friday,Dec,3,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6296,10,400,2,none,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,No
6297,Nov,3,Wednesday,Pontiac,Urban,Thursday,Nov,3,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6297,10,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,No
6298,Nov,2,Saturday,Pontiac,Urban,Tuesday,Nov,3,Male,Single,21,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6298,6,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Liability,No
6299,Nov,2,Friday,Chevrolet,Urban,Friday,Nov,2,Male,Married,45,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6299,14,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,No
6300,Oct,5,Sunday,Mazda,Urban,Tuesday,Nov,1,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",6300,1,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,No
6301,Sep,2,Sunday,Toyota,Urban,Monday,Sep,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6301,14,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Liability,Yes
6302,Sep,1,Monday,Pontiac,Rural,Wednesday,Sep,2,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6302,4,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,No
6303,Aug,4,Sunday,Chevrolet,Urban,Monday,Aug,4,Male,Married,70,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6303,9,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Liability,No
6304,Aug,1,Saturday,Chevrolet,Urban,Monday,Aug,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6304,4,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,No
6305,Aug,1,Thursday,Mazda,Urban,Wednesday,Aug,5,Female,Single,42,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",6305,15,400,1,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,No
6306,Sep,2,Sunday,Pontiac,Urban,Monday,Sep,2,Male,Single,21,Third Party,Sedan - Collision,Sedan,"more than 69,000",6306,13,400,1,more than 30,more than 30,none,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,No
6307,Jul,3,Monday,Saab,Urban,Thursday,Jul,4,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",6307,12,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,No
6308,Jul,3,Saturday,Mazda,Urban,Monday,Aug,1,Male,Married,27,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6308,9,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,No
6309,Jul,2,Wednesday,Chevrolet,Urban,Thursday,Jul,3,Female,Single,27,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6309,10,400,2,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,No
6310,Jul,1,Tuesday,Pontiac,Urban,Wednesday,Jul,2,Male,Married,38,Third Party,Sedan - All Perils,Sedan,"more than 69,000",6310,5,400,3,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,No
6311,Jul,1,Sunday,VW,Urban,Wednesday,Jul,2,Male,Married,35,Third Party,Sedan - Liability,Sport,"more than 69,000",6311,1,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,No
6312,May,3,Wednesday,Toyota,Urban,Wednesday,May,3,Male,Married,29,Policy Holder,Sedan - Liability,Sport,"40,000 to 59,000",6312,12,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,No
6313,Mar,1,Saturday,Saab,Urban,Wednesday,Mar,2,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",6313,15,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,No
6314,Feb,3,Monday,Honda,Urban,Tuesday,Feb,3,Female,Single,28,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6314,14,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,No
6315,Aug,2,Monday,Accura,Urban,Thursday,Oct,2,Male,Married,41,Policy Holder,Utility - All Perils,Utility,"more than 69,000",6315,11,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,3 to 4,1995,All Perils,No
6316,Jan,2,Tuesday,Pontiac,Urban,Tuesday,Jan,2,Male,Single,30,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6316,6,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,No
6317,Jan,1,Wednesday,Toyota,Urban,Thursday,Jan,1,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",6317,15,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,No
6318,Feb,2,Wednesday,Ford,Urban,Friday,Feb,2,Male,Married,54,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6318,7,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,No
6319,Mar,1,Friday,Mazda,Urban,Monday,Mar,1,Male,Married,40,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",6319,15,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,No
6320,Nov,1,Sunday,Toyota,Urban,Monday,Nov,1,Female,Married,21,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6320,3,400,3,more than 30,more than 30,none,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,No
6321,Jul,3,Tuesday,Pontiac,Urban,Monday,Sep,1,Male,Married,45,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",6321,12,400,3,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,No
6322,Jul,3,Wednesday,Mazda,Urban,Wednesday,Aug,1,Male,Married,37,Third Party,Sport - Collision,Sport,"more than 69,000",6322,9,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1995,Collision,No
6323,Apr,4,Monday,Mazda,Rural,Wednesday,Jun,2,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",6323,9,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,No
6324,Apr,4,Saturday,Mazda,Urban,Tuesday,Apr,4,Female,Single,25,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6324,2,400,4,more than 30,more than 30,more than 4,5 years,26 to 30,Yes,No,External,none,no change,1 vehicle,1995,Collision,No
6325,Apr,4,Friday,Mazda,Urban,Tuesday,May,4,Female,Single,27,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",6325,11,700,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,2 to 3 years,1 vehicle,1995,All Perils,No
6326,Dec,4,Monday,Pontiac,Urban,Wednesday,Dec,5,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",6326,8,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,No
6327,Dec,1,Monday,Pontiac,Urban,Wednesday,Dec,4,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6327,5,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,No
6328,Dec,1,Sunday,Chevrolet,Urban,Friday,Dec,2,Male,Married,42,Third Party,Sedan - Liability,Sport,"30,000 to 39,000",6328,11,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,No
6329,Oct,4,Wednesday,Chevrolet,Urban,Thursday,Oct,4,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",6329,1,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,No
6330,Oct,4,Monday,Honda,Urban,Tuesday,Oct,4,Male,Single,38,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",6330,8,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,No
6331,Sep,2,Monday,Toyota,Urban,Monday,Sep,4,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",6331,4,400,4,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,Yes
6332,Sep,2,Monday,Mazda,Rural,Friday,Sep,3,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6332,14,400,3,more than 30,more than 30,none,5 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1995,Collision,Yes
6333,Jul,5,Friday,Pontiac,Rural,Tuesday,Aug,1,Male,Married,57,Policy Holder,Utility - All Perils,Utility,"40,000 to 59,000",6333,15,400,4,more than 30,more than 30,2 to 4,6 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,No
6334,Jul,2,Friday,Pontiac,Urban,Friday,Jul,3,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",6334,12,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,No
6335,Jul,1,Friday,Honda,Urban,Wednesday,Jul,1,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6335,4,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,No
6336,May,5,Monday,Mazda,Urban,Tuesday,May,5,Male,Married,61,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",6336,3,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,No
6337,Apr,3,Friday,Chevrolet,Urban,Monday,Apr,3,Male,Married,52,Policy Holder,Utility - All Perils,Utility,"more than 69,000",6337,9,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,No
6338,Apr,2,Sunday,Toyota,Urban,Monday,Apr,3,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",6338,12,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,No
6339,Mar,2,Friday,Chevrolet,Urban,Monday,Mar,3,Female,Married,55,Third Party,Sedan - All Perils,Sedan,"more than 69,000",6339,4,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,No
6340,Jan,3,Thursday,Mazda,Urban,Monday,Feb,4,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",6340,15,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,No
